Date,Value
2015-03-31,1.2683
2015-04-30,1.2119
2015-05-31,1.2465
2015-06-30,1.2474
2015-07-31,1.3047
2015-08-31,1.3223
2015-09-30,1.3394
2015-10-31,1.3083
2015-11-30,1.3333
2015-12-31,1.384
2016-01-31,1.408
2016-02-29,1.3523
2016-03-31,1.2971
2016-04-30,1.2549
2016-05-31,1.31
2016-06-30,1.3009
2016-07-31,1.3041
2016-08-31,1.3124
2016-09-30,1.3117
2016-10-31,1.3403
2016-11-30,1.3426
2016-12-31,1.3427
2017-01-31,1.303
2017-02-28,1.3248
2017-03-31,1.3322
2017-04-30,1.3665
2017-05-31,1.35
2017-06-30,1.2977
2017-07-31,1.2485
2017-08-31,1.2536
2017-09-30,1.248
2017-10-31,1.2893
2017-11-30,1.2888
2017-12-31,1.2545
2018-01-31,1.2293
2018-02-28,1.2809
2018-03-31,1.2894
