Date,CAD,MXN
3/31/00,1.4535,9.32
4/30/00,1.4811,9.395
5/31/00,1.4978,9.513
6/30/00,1.4793,9.835
7/31/00,1.4872,9.368
8/31/00,1.4722,9.192
9/30/00,1.507,9.432
10/31/00,1.5271,9.563
11/30/00,1.5356,9.506
12/31/00,1.5002,9.61
1/31/01,1.5,9.686
2/28/01,1.5316,9.703
3/31/01,1.5774,9.494
4/30/01,1.5356,9.259
5/31/01,1.5457,9.172
6/30/01,1.5177,9.081
7/31/01,1.5303,9.151
8/31/01,1.5477,9.205
9/30/01,1.579,9.502
10/31/01,1.5867,9.267
11/30/01,1.5718,9.278
12/31/01,1.5926,9.09
1/31/02,1.5923,9.152
2/28/02,1.6047,9.132
3/31/02,1.5935,9.013
4/30/02,1.5678,9.4
5/31/02,1.5275,9.674
6/30/02,1.5187,9.955
7/31/02,1.5843,9.807
8/31/02,1.5589,9.908
9/30/02,1.5858,10.237
10/31/02,1.5603,10.14
11/30/02,1.5654,10.155
12/31/02,1.5796,10.349
1/31/03,1.529,10.92
2/28/03,1.4871,11.025
3/31/03,1.4693,10.792
4/30/03,1.4457,10.293
5/31/03,1.3708,10.323
6/30/03,1.3553,10.45
7/31/03,1.4073,10.5875
8/31/03,1.3851,11.05
9/30/03,1.3504,11.0025
10/31/03,1.3197,11.034
11/30/03,1.2973,11.38
12/31/03,1.2924,11.232
1/31/04,1.3264,11.044
2/29/04,1.3401,11.065
3/31/04,1.3105,11.124
4/30/04,1.3707,11.414
5/31/04,1.3634,11.444
6/30/04,1.3404,11.513
7/31/04,1.3292,11.416
8/31/04,1.3167,11.38
9/30/04,1.2639,11.3775
10/31/04,1.2207,11.534
11/30/04,1.1904,11.2395
12/31/04,1.2036,11.151
1/31/05,1.238,11.18
2/28/05,1.2314,11.1025
3/31/05,1.2096,11.167
4/30/05,1.2569,11.0505
5/31/05,1.251,10.87
6/30/05,1.2256,10.7775
7/31/05,1.2259,10.604
8/31/05,1.1889,10.752
9/30/05,1.1611,10.7635
10/31/05,1.1801,10.791
11/30/05,1.1674,10.5585
12/31/05,1.1659,10.6271
1/31/06,1.1439,10.454
2/28/06,1.138,10.4635
3/31/06,1.1671,10.901
4/30/06,1.1203,11.0615
5/31/06,1.1028,11.337
6/30/06,1.1159,11.307
7/31/06,1.1309,10.9485
8/31/06,1.1066,10.919
9/30/06,1.1153,10.9925
10/31/06,1.1227,10.7735
11/30/06,1.1415,10.9825
12/31/06,1.1653,10.809
1/31/07,1.1792,11.0249
2/28/07,1.17,11.1635
3/31/07,1.1529,11.044
4/30/07,1.1153,10.923
5/31/07,1.0699,10.748
6/30/07,1.0634,10.811
7/31/07,1.0657,10.9445
8/31/07,1.0564,11.034
9/30/07,0.9963,10.926
10/31/07,0.9499,10.685
11/30/07,1.0008,10.907
12/31/07,0.9881,10.9195
1/31/08,1.0022,10.832
2/29/08,0.9798,10.716
3/31/08,1.0279,10.642
4/30/08,1.0095,10.5145
5/31/08,0.9942,10.331
6/30/08,1.0186,10.307
7/31/08,1.0257,10.044
8/31/08,1.0626,10.2875
9/30/08,1.0599,10.949
10/31/08,1.2165,12.86
11/30/08,1.2372,13.42
12/31/08,1.2246,13.815
1/31/09,1.2364,14.279
2/28/09,1.2707,15.099
3/31/09,1.2602,14.21
4/30/09,1.194,13.8435
5/31/09,1.0961,13.175
6/30/09,1.1625,13.1695
7/31/09,1.079,13.2025
8/31/09,1.0967,13.344
9/30/09,1.0722,13.5035
10/31/09,1.0774,13.227
11/30/09,1.0574,12.9695
12/31/09,1.0466,13.082
1/31/10,1.065,13.03
2/28/10,1.0526,12.779
3/31/10,1.0156,12.357
4/30/10,1.0116,12.287
5/31/10,1.0462,12.93
6/30/10,1.0606,12.89
7/31/10,1.029,12.66
8/31/10,1.0639,13.234
9/30/10,1.0298,12.625
10/31/10,1.0188,12.366
11/30/10,1.0264,12.461
12/31/10,0.9946,12.365
1/31/11,1.0022,12.1591
2/28/11,0.9739,12.105
3/31/11,0.9718,11.8903
4/30/11,0.9486,11.5038
5/31/11,0.9688,11.5682
6/30/11,0.9643,11.71
7/31/11,0.9538,11.7269
8/31/11,0.9784,12.344
9/30/11,1.0389,13.8835
10/31/11,0.9935,13.2988
11/30/11,1.0197,13.667
12/31/11,1.017,13.9725
1/31/12,1.0052,13.0278
2/29/12,0.9866,12.7849
3/31/12,0.9991,12.8035
4/30/12,0.9884,13.0311
5/31/12,1.0349,14.2941
6/30/12,1.0191,13.3396
7/31/12,1.0014,13.3115
8/31/12,0.9863,13.2
9/30/12,0.9837,12.8593
10/31/12,0.9996,13.0714
11/30/12,0.9932,12.939
12/31/12,0.9949,12.8704
1/31/13,0.9992,12.717
2/28/13,1.0285,12.7489
3/31/13,1.0156,12.3339
4/30/13,1.0072,12.1411
5/31/13,1.0339,12.8041
6/30/13,1.0512,12.9795
7/31/13,1.0287,12.785
8/31/13,1.0553,13.39
9/30/13,1.0285,13.1524
10/31/13,1.0429,13.04
11/30/13,1.0599,13.1175
12/31/13,1.0636,13.09
1/31/14,1.1119,13.316
2/28/14,1.1075,13.246
3/31/14,1.1053,13.064
4/30/14,1.0957,13.085
5/31/14,1.0867,12.856
6/30/14,1.0676,12.9865
7/31/14,1.089,13.205
8/31/14,1.0858,13.07
9/30/14,1.1208,13.4235
10/31/14,1.1275,13.4715
11/30/14,1.1427,13.908
12/31/14,1.1601,14.7475
1/31/15,1.2717,14.95
2/28/15,1.2508,14.9295
3/31/15,1.2683,15.261
4/30/15,1.2119,15.3795
5/31/15,1.2465,15.389
6/30/15,1.2474,15.695
7/31/15,1.3047,16.126
8/31/15,1.3223,16.6825
9/30/15,1.3394,16.933
10/31/15,1.3083,16.507
11/30/15,1.3333,16.5735
12/31/15,1.384,17.212
1/31/16,1.408,18.146
2/29/16,1.3523,18.103
3/31/16,1.2971,17.29
4/30/16,1.2549,17.223
5/31/16,1.31,18.4695
6/30/16,1.3009,18.2575
7/31/16,1.3041,18.7685
8/31/16,1.3124,18.849
9/30/16,1.3117,19.382
10/31/16,1.3403,18.906
11/30/16,1.3426,20.5065
12/31/16,1.3427,20.64
1/31/17,1.303,20.8165
2/28/17,1.3248,20.096
3/31/17,1.3322,18.7275
4/30/17,1.3665,18.866
5/31/17,1.35,18.6435
6/30/17,1.2977,18.143
7/31/17,1.2485,17.841
8/31/17,1.2536,17.7795
9/30/17,1.248,18.1785
10/31/17,1.2893,19.1545
11/30/17,1.2888,18.6605
12/31/17,1.2545,19.6595
1/31/18,1.2293,18.6515
2/28/18,1.2809,18.8205
3/31/18,1.2894,18.303
