Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
1/31/08,1378.76,27.92,64.25,211.08,3.74,1632.827622,33.06488962,76.08951138,24.02231776
2/29/08,1354.87,28.11,62.32,211.693,3.74,1599.889093,33.19350374,73.5901513,23.4952634
3/31/08,1316.94,28.3,60.39,213.528,3.51,1541.735616,33.13068017,70.69829595,22.60681084
4/30/08,1370.47,28.43666667,57.38333333,214.823,3.68,1594.73125,33.08999174,66.77343897,23.35604064
5/31/08,1403.22,28.57333333,54.37666667,216.632,3.88,1619.205258,32.97137411,62.74638659,23.69643212
6/30/08,1341.25,28.71,51.37,218.815,4.1,1532.256222,32.79856563,58.68555612,22.4168128
7/31/08,1257.33,28.75666667,49.56333333,219.964,4.01,1428.882174,32.68027357,56.32583606,20.90720646
8/31/08,1281.47,28.80333333,47.75666667,219.086,3.89,1462.152146,32.86448817,54.49016571,21.40161736
9/30/08,1216.95,28.85,45.95,218.783,3.69,1390.458113,32.96332353,52.50137665,20.36273395
10/31/08,968.8,28.69666667,35.59333333,216.573,3.81,1118.223375,33.12271207,41.08308973,16.38735655
11/30/08,883.04,28.54333333,25.23666667,212.425,3.53,1039.13865,33.58905698,29.69785711,15.25965941
12/31/08,877.56,28.39,14.88,210.228,2.42,1043.482114,33.75775699,17.69339289,15.37608075
1/31/09,865.58,28.01333333,12.20666667,211.143,2.52,1024.776774,33.16552297,14.45170694,15.17465194
2/28/09,805.23,27.63666667,9.533333333,212.193,2.87,948.6098777,32.55767295,11.23084605,14.1221818
3/31/09,757.13,27.26,6.86,212.709,2.82,889.7814299,32.03603315,8.061892421,13.32366766
4/30/09,848.15,26.70333333,7.076666667,213.24,2.93,994.2663498,31.30369128,8.295810335,14.98186645
5/31/09,902.41,26.14666667,7.293333333,213.856,3.29,1054.826929,30.56283519,8.525176365,15.99635576
6/30/09,926.12,25.59,7.51,215.693,3.72,1073.321826,29.65739378,8.703674377,16.38418282
7/31/09,935.82,25.02666667,9.186666667,215.351,3.56,1086.28599,29.05058385,10.66374655,16.69462082
8/31/09,1009.73,24.46333333,10.86333333,215.834,3.59,1169.456707,28.33312791,12.58177733,18.0940698
9/30/09,1044.55,23.9,12.54,215.969,3.4,1209.028573,27.66337935,14.51459318,18.83190226
10/31/09,1067.66,23.40333333,25.35,216.177,3.39,1234.588523,27.06244191,29.31346969,19.35800844
11/30/09,1088.07,22.90666667,38.16,216.33,3.4,1257.299766,26.46938766,44.09510331,19.81276108
12/31/09,1110.38,22.41,50.97,215.949,3.59,1285.343431,25.94116093,59.0013821,20.3223765
1/31/10,1123.58,22.24,54.29,216.687,3.73,1296.193657,25.65669283,62.63047904,20.5278598
2/28/10,1089.16,22.07,57.61,216.741,3.69,1256.172724,25.45423264,66.44396659,19.92053931
3/31/10,1152.05,21.9,60.93,217.631,3.73,1323.272598,25.15487166,69.98567719,21.00460121
4/30/10,1197.32,21.94666667,62.98666667,218.009,3.85,1372.886274,25.16476583,72.22257216,21.8048456
5/31/10,1125.06,21.99333333,65.04333333,218.178,3.42,1289.031341,25.19874136,74.52304336,20.48006864
6/30/10,1083.36,22.04,67.1,217.965,3.2,1242.466773,25.27688643,76.95458617,19.74203985
7/31/10,1079.8,22.14333333,68.68666667,218.011,3.01,1238.122639,25.39003733,78.75765607,19.66866047
8/31/10,1087.28,22.24666667,70.27333333,218.312,2.7,1244.980473,25.47335148,80.46586693,19.77029917
9/30/10,1122.08,22.35,71.86,218.439,2.65,1284.080913,25.57679346,82.23482677,20.38139523
10/31/10,1171.58,22.47666667,73.69,218.711,2.54,1339.060107,25.68975884,84.22415819,21.24012765
11/30/10,1198.89,22.60333333,75.52,218.803,2.76,1369.697977,25.82367017,86.27946783,21.70072383
12/31/10,1241.53,22.73,77.35,219.179,3.29,1415.979695,25.92383469,88.21859274,22.39637977
1/31/11,1282.62,22.96333333,78.67,220.223,3.39,1455.908501,26.06579673,89.29871806,22.97829943
2/28/11,1321.12,23.19666667,79.99,221.309,3.58,1492.251212,26.2014457,90.35150056,23.4898287
